fund_name,Predicted strategy,strategy evidence,source meta data
PIMCO REALPATH 2030 Fund,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2030 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2030, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2030 Fund.txt'}
PIMCO REALPATH 2035 Fund,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2035 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2035, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2035 Fund.txt'}
PIMCO REALPATH 2040 Fund,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2040 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2040, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2040 Fund.txt'}
PIMCO REALPATH 2045 Fund,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2045 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2045, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2045 Fund.txt'}
PIMCO REALPATH 2055,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2055 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2055, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2055.txt'}
PIMCO REALPATH 2050 Fund,Balanced Fund (Low Risk),"The PIMCO REALPATH® 2050 Fund (the ""Fund"") is intended for investors seeking professional management of a comprehensive asset allocation strategy for retirement savings. The Fund is managed for shareholders that plan to retire or begin withdrawing assets around the year 2050, the Fund's target year. This is the ""self-elected"" year of retirement for the investors in the Fund. The primary difference between the PIMCO REALPATH® Funds is their asset allocation, which varies depending on the number of years left until the ""self-elected"" year of retirement indicated in the PIMCO REALPATH® Fund's name. The Fund's allocation is intended to meaningfully reduce risk and increasingly focus on preservation of capital as the target retirement date of the Fund nears. An investment in the Fund is not guaranteed, and you may experience losses, including losses near, at, or after the target year indicated in the Fund's name. There is no guarantee that the Fund will provide adequate income at and",{'source': 'MutualFundSummary/PIMCO REALPATH 2050 Fund.txt'}
Pioneer Dynamic Credit Fund,Fixed Income Long Only (Low Risk),"Pioneer Dynamic Credit Fund

<head_breaker>

Fund summary

INVESTMENT OBJECTIVES A high level of current income. Capital appreciation is a secondary objective.

FEES AND EXPENSES OF THE FUND This table describes the fees and expenses that you may pay if you buy and hold shares of the fund.",{'source': 'MutualFundSummary/Pioneer Dynamic Credit Fund.txt'}
Pioneer Fundamental Growth Fund,Equity Long Only (Low Risk),"Pioneer Fundamental Growth Fund

<head_breaker>

Fund summary

INVESTMENT OBJECTIVE

Long

term capital growth.

FEES AND EXPENSES OF THE FUND This table describes the fees and expenses that you may pay if you buy and hold shares of the fund.",{'source': 'MutualFundSummary/Pioneer Fundamental Growth Fund.txt'}
Pioneer Global High Yield Fund,Balanced Fund (Low Risk),"Pioneer Global High Yield Fund <head_breaker>

Fund summary

INVESTMENT OBJECTIVE Maximize total return through a combination of income and capital appreciation.

FEES AND EXPENSES OF THE FUND This table describes the fees and expenses that you may pay if you buy and hold shares of the fund.

You may qualify for sales charge discounts if you or your family invest, or agree to invest in the future, at least $100,000 in Class A shares of the Pioneer funds. More information about these and other discounts is available from your investment professional and in the ""Sales charges"" section of the prospectus beginning on page 59, the ""Intermediary defined sales charge waiver policies"" section of the prospectus beginning on page 97, and the ""Sales charges"" section of the statement of additional information beginning on page 65.",{'source': 'MutualFundSummary/Pioneer Global High Yield Fund.txt'}
Pioneer Global Multisector Income Fund,Fixed Income Long Only (Low Risk),"Pioneer Global Multisector Income Fund <head_breaker>

Fund summary

INVESTMENT OBJECTIVE A high level of current income.

FEES AND EXPENSES OF THE FUND This table describes the fees and expenses that you may pay if you buy and hold shares of the fund.

You may qualify for sales charge discounts if you or your family invest, or agree to invest in the future, at least $100,000 in Class A shares of the Pioneer funds. More information about these and other discounts is available from your investment professional and in the ""Sales charges"" section of the prospectus beginning on page 58, the ""Intermediary defined sales charge waiver policies"" section of the prospectus beginning on page 96, and the ""Sales charges"" section of the statement of additional information beginning on page 65.",{'source': 'MutualFundSummary/Pioneer Global Multisector Income Fund.txt'}
Pioneer Multi-Asset Ultrashort Income Fund,Fixed Income Long Only (Low Risk),"Pioneer Multi

Asset Ultrashort Income Fund

<head_breaker>

Fund summary

INVESTMENT OBJECTIVES A high level of current income to the extent consistent with a relatively high level of stability of principal.

FEES AND EXPENSES OF THE FUND This table describes the fees and expenses that you may pay if you buy and hold shares of the fund.",{'source': 'MutualFundSummary/Pioneer Multi-Asset Ultrashort Income Fund.txt'}
Portfolio Series - American Funds Global Growth Portfolio,Equity Long Only (Low Risk),"Portfolio Series - American Funds Global Growth Portfolio <head_breaker>

American Funds Global Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'MutualFundSummary/Portfolio Series - American Funds Global Growth Portfolio.txt'}
Portfolio Series - American Funds Growth and Income Portfolio,Balanced Fund (Low Risk),"Portfolio Series - American Funds Growth and Income Portfolio <head_breaker>

American Funds Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1	Class 1A	Class 2 Management fees	None	None	None Distribution fees	None	None	0.25% Other expenses*	0.03%	0.28%	0.03 Acquired (underlying) fund fees and expenses	0.44	0.44	0.44 Total annual fund operating expenses	0.47	0.72	0.72 * Based on estimated amounts for the current fiscal year.",{'source': 'MutualFundSummary/Portfolio Series - American Funds Growth and Income Portfolio.txt'}
Portfolio Series - American Funds Managed Risk Global Allocation Portfolio,Balanced Fund (Low Risk),"Portfolio Series - American Funds Managed Risk Global Allocation Portfolio <head_breaker>

American Funds Managed Risk Global Allocation Portfolio

Investment objective The fund’s investment objective is to provide high total return (including income and capital gains) consistent with preservation of capital over the long term while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'MutualFundSummary/Portfolio Series - American Funds Managed Risk Global Allocation Portfolio.txt'}
Portfolio Series - American Funds Managed Risk Growth and Income Portfolio,Balanced Fund (Low Risk),"Portfolio Series - American Funds Managed Risk Growth and Income Portfolio <head_breaker>

American Funds Managed Risk Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital and current income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'MutualFundSummary/Portfolio Series - American Funds Managed Risk Growth and Income Portfolio.txt'}
Portfolio Series - American Funds Managed Risk Growth Portfolio,Balanced Fund (Low Risk),"Portfolio Series - American Funds Managed Risk Growth Portfolio <head_breaker>

American Funds Managed Risk Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'MutualFundSummary/Portfolio Series - American Funds Managed Risk Growth Portfolio.txt'}
Precious Metals and Minerals Fund,Balanced Fund (Low Risk),Precious Metals and Minerals Fund <head_breaker>,{'source': 'MutualFundSummary/Precious Metals and Minerals Fund.txt'}
PRIME MONEY MARKET FUND,Fixed Income Long Only (Low Risk),"2

Because high-quality debt securities are among the safest securities available, the interest they pay is among the lowest for income-paying securities. Accordingly, the yield on this fund will likely be lower than the yield on funds that invest in longer-term or lower-quality securities.

Principal Risks

Even though the fund’s investments are designed to minimize interest rate, liquidity and credit risk, the fund is still subject to some degree of risk.

Interest Rate Risk – Interest rate risk means that the value of debt securities and funds that hold them decline as interest rates rise. A sharp and unexpected rise in interest rates could cause the fund’s price to drop.",{'source': 'MutualFundSummary/PRIME MONEY MARKET FUND.txt'}
S&P 500 Index Fund,Equity Long Only (Low Risk),"S&P 500 Index Fund

<head_breaker>",{'source': 'MutualFundSummary/S_P 500 Index Fund.txt'}
Schwab California Municipal Money Fund,Balanced Fund (Low Risk),Schwab California Municipal Money Fund | Fund Summary9,{'source': 'MutualFundSummary/Schwab California Municipal Money Fund.txt'}
Schwab New York Municipal Money Fund,Balanced Fund (Low Risk),Schwab New York Municipal Money Fund | Fund Summary13,{'source': 'MutualFundSummary/Schwab New York Municipal Money Fund.txt'}
Science & Technology Fund,Equity Long Only (Low Risk),"Table of Contents A mutual fund portfolio consisting of investments related to the fields of science and technology is likely to be more volatile than a portfolio that is more widely diversified in other economic sectors. There is a possibility that the Fund’s investments in companies whose value is highly dependent on scientific and technological developments may be more volatile because of the short life cycles and competitive pressures of many of the products or services of these companies. Because of the competitiveness and rapid changes in the fields of science and technology, many of the companies in the Fund’s portfolio are subject to distinctive risks. The products and services of these companies may not be economically successful or may quickly become outdated. Additionally, many of these companies must comply with significant governmental regulations and may need governmental approval of their products and services. An investment in the Fund is not a deposit in USAA Federal",{'source': 'MutualFundSummary/Science _ Technology Fund.txt'}
SHORT DURATION INFLATION PROTECTION BOND FUND,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

Under normal market conditions, the fund invests at least 80% of its net assets in inflation-linked debt securities. These securities include inflation-linked U.S. Treasury securities, inflation-linked securities issued by U.S. government agencies and instrumentalities other than the U.S. Treasury, and inflation-linked securities issued by other entities such as domestic and foreign corporations and governments. Inflation-linked securities are designed to protect the future purchasing power of the money invested in them.",{'source': 'MutualFundSummary/SHORT DURATION INFLATION PROTECTION BOND FUND.txt'}
SELECT FUND,Equity Long Only (Low Risk),"Principal Investment Strategies

The portfolio managers look for stocks of companies they believe will increase in value over time. The portfolio managers make their investment decisions based primarily on their analysis of individual companies, rather than on broad economic forecasts. Management of the fund is based on the belief that, over the long term, stock price movements follow growth in earnings, revenues and/or cash flow.",{'source': 'MutualFundSummary/SELECT FUND.txt'}
Short-Term Bond Fund,Fixed Income Long Only (Low Risk),"Short

Term Bond Fund

<head_breaker>",{'source': 'MutualFundSummary/Short-Term Bond Fund.txt'}
SMALL CAP GROWTH FUND,Equity Long Only (Low Risk),"Principal Investment Strategies

Under normal market conditions, the fund will invest at least 80% of its net assets in small cap companies. The portfolio managers consider small cap companies to include those with a market capitalization that does not exceed that of the largest company in the Russell 2000 Growth Index.",{'source': 'MutualFundSummary/SMALL CAP GROWTH FUND.txt'}
Small Cap Stock Fund,Equity Long Only (Low Risk),"Small Cap Stock Fund

<head_breaker>",{'source': 'MutualFundSummary/Small Cap Stock Fund.txt'}
SUSTAINABLE EQUITY FUND,Equity Long Only (Low Risk),"2#

Principal Investment Strategies

The fund will generally invest in larger-sized companies using a quantitative model that combines fundamental measures of a stock’s value and growth potential. To measure value, the managers may use ratios of stock price-to-earnings and stock price-to-cash flow, among others. To measure growth, the managers may use the rate of growth of a company’s earnings and cash flow and changes in its earnings estimates, as well as other factors. The model also considers price momentum. The portfolio managers also take environmental, social and governance (""ESG"") factors into account in making investment decisions.  The portfolio managers attempt to build a portfolio of stocks that provides better returns than, and a dividend yield comparable to, the S&P 500® Index, without taking on significant additional risk.

Under normal market conditions, the fund will invest at least 80% of its net assets in equity securities.",{'source': 'MutualFundSummary/SUSTAINABLE EQUITY FUND.txt'}
Swan Defined Risk Emerging Markets Fund,Balanced Fund (Low Risk),"Swan Defined Risk Emerging Markets Fund <head_breaker>

FUND SUMMARY – SWAN DEFINED RISK EMERGING MARKETS FUND

Investment Objective: The Fund seeks income and growth of capital.

Fees and Expenses of the Fund: This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts on purchases of Class A shares if you and your family invest, or agree to invest in the future, at least $50,000 in the Fund. More information about these and other discounts is available from your financial professional and in How to Purchase Shares on page 35 of the Fund’s Prospectus. In addition, descriptions of the sales load waivers and/or discounts for Class A shares with respect to certain financial intermediaries are reproduced in “Appendix A: Intermediary-Specific Sales Charge Waivers and Discounts” to the Prospectus based on information provided by the financial intermediary.

Shareholder Fees",{'source': 'MutualFundSummary/Swan Defined Risk Emerging Markets Fund.txt'}
Swan Defined Risk Foreign Developed Fund,Balanced Fund (Low Risk),"Swan Defined Risk Foreign Developed Fund <head_breaker>

FUND SUMMARY – SWAN DEFINED RISK FOREIGN DEVELOPED FUND

Investment Objective: The Fund seeks income and growth of capital.

Fees and Expenses of the Fund: This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts on purchases of Class A shares if you and your family invest, or agree to invest in the future, at least $50,000 in the Fund. More information about these and other discounts is available from your financial professional and in How to Purchase Shares on page 35 of the Fund’s Prospectus. In addition, descriptions of the sales load waivers and/or discounts for Class A shares with respect to certain financial intermediaries are reproduced in “Appendix A: Intermediary-Specific Sales Charge Waivers and Discounts” to the Prospectus based on information provided by the financial intermediary.

Shareholder Fees",{'source': 'MutualFundSummary/Swan Defined Risk Foreign Developed Fund.txt'}
Swan Defined Risk Fund,Balanced Fund (Low Risk),"Swan Defined Risk Fund

<head_breaker>

FUND SUMMARY – SWAN DEFINED RISK FUND

Investment Objective: The Fund seeks income and growth of capital.

Fees and Expenses of the Fund: This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts on purchases of Class A shares if you and your family invest, or agree to invest in the future, at least $50,000 in the Fund. More information about these and other discounts is available from your financial professional and in How to Purchase Shares on page 35 of the Fund’s Prospectus. In addition, descriptions of the sales load waivers and/or discounts for Class A shares with respect to certain financial intermediaries are reproduced in “Appendix A: Intermediary-Specific Sales Charge Waivers and Discounts” to the Prospectus based on information provided by the financial intermediary.

Shareholder Fees

(fees paid directly from your investment)",{'source': 'MutualFundSummary/Swan Defined Risk Fund.txt'}
Swan Defined Risk U.S. Small Cap Fund,Equity Long Only (Low Risk),"Swan Defined Risk U.S. Small Cap Fund <head_breaker>

FUND SUMMARY – SWAN DEFINED RISK U.S. SMALL CAP FUND

Investment Objective: The Fund seeks income and growth of capital.

Fees and Expenses of the Fund: This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts on purchases of Class A shares if you and your family invest, or agree to invest in the future, at least $50,000 in the Fund. More information about these and other discounts is available from your financial professional and in How to Purchase Shares on page 35 of the Fund’s Prospectus. In addition, descriptions of the sales load waivers and/or discounts for Class A shares with respect to certain financial intermediaries are reproduced in “Appendix A: Intermediary-Specific Sales Charge Waivers and Discounts” to the Prospectus based on information provided by the financial intermediary.

Shareholder Fees",{'source': 'MutualFundSummary/Swan Defined Risk U.S. Small Cap Fund.txt'}
T. Rowe Price Africa & Middle East Fund,Equity Long Only (Low Risk),"Investments, Risks, and Performance

Principal Investment Strategies The fund normally invests at least 80% of its net assets (including any borrowings for investment purposes) in African and Middle Eastern companies. For purposes of determining whether the fund invests at least 80% of its net assets in African and Middle Eastern companies, the fund relies on the country assigned to a security by MSCI Inc. or another unaffiliated data provider. The fund expects to primarily invest in common stocks and participation notes (P-notes) linked to common stocks of companies located (or with primary operations) in Africa and the Middle East. The countries in which the fund normally invests include, but are not limited to, the following:

Primary Emphasis: Bahrain, Egypt, Jordan, Kenya, Kuwait, Lebanon, Morocco, Nigeria, Oman, Qatar, Saudi Arabia, South Africa, and United Arab Emirates.",{'source': 'MutualFundSummary/T. Rowe Price Africa _ Middle East Fund.txt'}
T. Rowe Price Asia Opportunities Fund,Equity Long Only (Low Risk),"Investments, Risks, and Performance

Principal Investment Strategies The fund normally invests at least 80% of its net assets (including any borrowings for investment purposes) in stocks issued by companies that are located in, or that have economic ties to, Asia (excluding Japan). For purposes of determining whether the fund invests at least 80% of its net assets in Asian companies, the fund relies on the

SUMMARY

3

country assigned to a security by MSCI Inc. or another unaffiliated data provider. The Asian countries in which the fund normally invests include, but are not limited to, the following:

Primary Emphasis: China, Hong Kong, India, Indonesia, Malaysia, Philippines, Singapore, South Korea, Taiwan, and Thailand.

Others: Pakistan, Sri Lanka, and Vietnam.",{'source': 'MutualFundSummary/T. Rowe Price Asia Opportunities Fund.txt'}
T. Rowe Price Emerging Europe Fund,Balanced Fund (Low Risk),"Primary Emphasis: Czech Republic, Greece, Hungary, Kazakhstan, Poland, Russia, Turkey, and Ukraine.

Others: Bulgaria, Croatia, Estonia, Georgia, Latvia, Lithuania, Romania, Slovakia, and Slovenia.

The emerging European investable universe, due to its limited geographic scope and less developed markets, tends to rely heavily on the success of certain industries and sectors. As a result, the fund may invest up to 35% of its net assets in any industry that accounts for more than 20% of the emerging European market as a whole, as measured by an index determined by T. Rowe Price to be an appropriate measure of the emerging European market (currently MSCI Emerging Markets Europe Index).

Summary

3

The fund is “nondiversified,” meaning it may invest a greater portion of its assets in a single company and own more of the company’s voting securities than is permissible for a “diversified” fund. The fund may purchase the stocks of companies of any size.",{'source': 'MutualFundSummary/T. Rowe Price Emerging Europe Fund.txt'}
T. Rowe Price Emerging Markets Stock Fund,Equity Long Only (Low Risk),"T. Rowe Price Emerging Markets Stock Fund <head_breaker>

nvestment Objective

The fund seeks long

term growth of capital.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Investor

Class

I

Class

Advisor

Class

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)a

2.00

%

2.00

%

2.00

%

Maximum account fee

$20

b

—

—

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

0.79

%

0.79

%

0.79

%

Distribution and service (12b

1) fees

—

—

0.25

Other expenses

0.53

0.31

e

0.57

Total annual fund operating expenses

1.32

1.10

1.61",{'source': 'MutualFundSummary/T. Rowe Price Emerging Markets Stock Fund.txt'}
T. Rowe Price Emerging Markets Value Stock Fund,Equity Long Only (Low Risk),"The performance for the periods shown reflects the performance of the fund while it was named the T. Rowe Price Emerging Markets Value Stock Fund. Effective March 1, 2019, the T. Rowe Price Emerging Markets Value Stock Fund was renamed the T.  Rowe Price Emerging Markets Discovery Stock Fund.

The following bar chart illustrates how much returns can differ from year to year by showing calendar year returns and the best and worst calendar quarter returns during those years for the fund’s Investor Class. Returns for other share classes vary since they have different expenses.

T. ROWE PRICE

6

The following table shows the average annual total returns for each class of the fund that has been in operation for at least one full calendar year, and also compares the returns with the returns of a relevant broad-based market index, as well as with the returns of one or more comparative indexes that have investment characteristics similar to those of the fund.",{'source': 'MutualFundSummary/T. Rowe Price Emerging Markets Value Stock Fund.txt'}
T. Rowe Price Institutional Emerging Markets Bond Fund,Fixed Income Long Only (Low Risk),"Investments, Risks, and Performance

Principal Investment Strategies The fund will normally invest at least 80% (and potentially all) of its net assets (including any borrowings for investment purposes) in debt securities of emerging market governments or companies located in emerging market countries. The fund considers frontier markets to be a subset of emerging markets and any investments in frontier markets will be counted toward the fund’s 80% investment policy. The fund relies on a classification by either JP Morgan or the

T. Rowe Price

2",{'source': 'MutualFundSummary/T. Rowe Price Institutional Emerging Markets Bond Fund.txt'}
T. Rowe Price Institutional Africa & Middle East Fund,Equity Long Only (Low Risk),"T. Rowe Price Institutional Africa & Middle East Fund <head_breaker>

SUMMARY

Investment Objective

The fund seeks long-term growth of capital by investing primarily in the common stocks of companies located (or with primary operations) in Africa and the Middle East.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)

2.00

%

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

1.00

%

Other expenses

0.21

Total annual fund operating expenses

1.21",{'source': 'MutualFundSummary/T. Rowe Price Institutional Africa _ Middle East Fund.txt'}
T. Rowe Price Institutional Emerging Markets Equity Fund,Equity Long Only (Low Risk),"T. Rowe Price

2

which countries are considered emerging markets and relies on the country assigned to a security by MSCI Inc. or another unaffiliated data provider. The fund considers frontier markets to be a subset of emerging markets and any investments in frontier markets will be counted toward the fund’s 80% investment policy. The fund expects to primarily invest in common stocks of companies located (or with primary operations) in emerging markets in Latin America, Asia, Europe, Africa, and the Middle East. The countries in which the fund normally invests include, but are not limited to, the following:

Asia: China, India, Indonesia, Malaysia, Pakistan, Philippines, South Korea, Sri Lanka, Taiwan, Thailand, and Vietnam.

Latin America: Argentina, Belize, Brazil, Chile, Colombia, Mexico, Panama, Peru, and Venezuela.

Europe: Croatia, Czech Republic, Estonia, Greece, Hungary, Kazakhstan, Latvia, Lithuania, Poland, Romania, Russia, Slovakia, Slovenia, Turkey, and Ukraine.",{'source': 'MutualFundSummary/T. Rowe Price Institutional Emerging Markets Equity Fund.txt'}
T. Rowe Price Institutional Frontier Markets Equity Fund,Equity Long Only (Low Risk),"Investments, Risks, and Performance

Principal Investment Strategies The fund normally invests at least 80% of its net assets (including any borrowings for investment purposes) in equity securities and equity-related investments of companies that are located in, or that have economic ties to, countries considered to be frontier markets. For purposes of determining whether the fund invests at least 80% in frontier markets, the fund relies on the country assigned to a security by MSCI Inc. or another unaffiliated data provider. The fund may purchase securities issued by companies of any size, but typically seeks larger companies to the extent opportunities are available within frontier markets. The fund expects to make most of its investments in companies in frontier markets in Africa, the Middle East, Asia, Europe, and Latin America.",{'source': 'MutualFundSummary/T. Rowe Price Institutional Frontier Markets Equity Fund.txt'}
T. Rowe Price Institutional Global Focused Growth Equity Fund,Equity Long Only (Low Risk),"T. Rowe Price Institutional Global Focused Growth Equity Fund <head_breaker>

SUMMARY

Investment Objective

The fund seeks long-term growth of capital through investments primarily in the common stocks of established companies throughout the world, including the U.S.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)

2.00

%

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

0.65

%

Other expenses

0.67

Total annual fund operating expenses

1.32

Fee waiver/expense reimbursement

(0.56

)a",{'source': 'MutualFundSummary/T. Rowe Price Institutional Global Focused Growth Equity Fund.txt'}
T. Rowe Price Institutional Global Value Equity Fund,Equity Long Only (Low Risk),"While the adviser invests with an awareness of the global economic landscape and the outlook for certain industries and countries, stock selection is driven mainly by fundamental research that seeks to identify companies that are undervalued but have the potential for improving earnings over time. The fund’s value approach to investing relies on a global research team that searches for companies that appear to be undervalued by various measures and may be temporarily out of favor but have good prospects for capital appreciation or dividend growth. The fund may at times invest significantly in certain sectors, such as the financials sector.

In selecting investments, the adviser generally favors companies with one or more of the following characteristics:

low valuation on various earnings, book value, sales, and cash flow metrics, in absolute terms and/or relative to the company’s peers or its own historical norm;

low valuation relative to a company’s fundamentals;",{'source': 'MutualFundSummary/T. Rowe Price Institutional Global Value Equity Fund.txt'}
T. Rowe Price Institutional Global Growth Equity Fund,Equity Long Only (Low Risk),"T. Rowe Price Institutional Global Growth Equity Fund <head_breaker>

SUMMARY

Investment Objective

The fund seeks long-term growth of capital through investments primarily in the common stocks of large-cap companies throughout the world, including the U.S.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)

2.00

%

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

0.65

%

Other expenses

0.09

Total annual fund operating expenses

0.74

Fee waiver/expense reimbursement

0.01

a",{'source': 'MutualFundSummary/T. Rowe Price Institutional Global Growth Equity Fund.txt'}
T. Rowe Price Institutional International Bond Fund,Fixed Income Long Only (Low Risk),"Investments, Risks, and Performance

Principal Investment Strategies Normally, the fund will invest at least 80% of its net assets (including any borrowings for investment purposes) in foreign bonds and 65% of its net assets in non-U.S. dollar-denominated foreign bonds that are rated investment-grade (i.e., BBB- or equivalent, or better), as determined by at least one major credit rating agency or, if unrated, deemed to be of comparable quality by T. Rowe Price. If a bond is split-rated (i.e., assigned different ratings by different

T. Rowe Price

2",{'source': 'MutualFundSummary/T. Rowe Price Institutional International Bond Fund.txt'}
